,State/UT,Date,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate,New cases
0,Andaman and Nicobar Islands,2020-04-12,11.7401,92.6586,11,1,0,0.0,10,0.9090909090909091,0
1,Andhra Pradesh,2020-04-12,15.9129,79.74,381,364,6,0.015748031496062992,11,0.028871391076115485,18
2,Arunachal Pradesh,2020-04-12,28.218000000000004,94.7278,1,1,0,0.0,0,0.0,0
3,Assam,2020-04-12,26.2006,92.9376,29,28,1,0.034482758620689655,0,0.0,0
4,Bihar,2020-04-12,25.0961,85.3131,63,62,1,0.015873015873015872,0,0.0,3
5,Chandigarh,2020-04-12,30.7333,76.7794,19,12,0,0.0,7,0.3684210526315789,1
6,Chhattisgarh,2020-04-12,21.2787,81.8661,18,9,0,0.0,9,0.5,0
7,Delhi,2020-04-12,28.7041,77.1025,1069,1025,19,0.01777362020579981,25,0.023386342376052385,166
8,Goa,2020-04-12,15.2993,74.124,7,2,0,0.0,5,0.7142857142857143,0
9,Gujarat,2020-04-12,22.2587,71.1924,432,366,22,0.05092592592592592,44,0.10185185185185185,124
10,Haryana,2020-04-12,29.0588,76.0856,177,145,3,0.01694915254237288,29,0.1638418079096045,0
11,Himachal Pradesh,2020-04-12,31.1048,77.1734,32,25,1,0.03125,6,0.1875,4
12,Jammu and Kashmir,2020-04-12,33.7782,76.5762,207,197,4,0.01932367149758454,6,0.028985507246376812,0
13,Jharkhand,2020-04-12,23.6102,85.2799,17,16,1,0.058823529411764705,0,0.0,3
14,Karnataka,2020-04-12,15.3173,75.7139,214,171,6,0.028037383177570093,37,0.17289719626168223,7
15,Kerala,2020-04-12,10.8505,76.2711,364,239,2,0.005494505494505495,123,0.33791208791208793,0
16,Ladakh,2020-04-12,34.2996,78.2932,15,5,0,0.0,10,0.6666666666666666,0
17,Madhya Pradesh,2020-04-12,22.9734,78.6569,532,496,36,0.06766917293233082,0,0.0,97
18,Maharashtra,2020-04-12,19.7515,75.7139,1761,1426,127,0.07211811470755253,208,0.11811470755252697,187
19,Manipur,2020-04-12,24.6637,93.9063,2,1,0,0.0,1,0.5,0
20,Mizoram,2020-04-12,23.1645,92.9376,1,1,0,0.0,0,0.0,0
21,Odisha,2020-04-12,20.9517,85.0985,50,47,1,0.02,2,0.04,2
22,Puducherry,2020-04-12,11.9416,79.8083,7,6,0,0.0,1,0.14285714285714285,2
23,Punjab,2020-04-12,31.1471,75.3412,151,135,11,0.0728476821192053,5,0.033112582781456956,19
24,Rajasthan,2020-04-12,27.0238,74.2179,700,676,3,0.004285714285714286,21,0.03,147
25,Tamil Nadu,2020-04-12,11.1271,78.6569,969,915,10,0.010319917440660475,44,0.04540763673890609,58
26,Telengana,2020-04-12,18.1124,79.0193,504,452,9,0.017857142857142856,43,0.08531746031746032,31
27,Tripura,2020-04-12,23.9408,91.9882,2,2,0,0.0,0,0.0,1
28,Uttar Pradesh,2020-04-12,26.8467,80.9462,452,402,5,0.011061946902654867,45,0.09955752212389381,21
29,Uttarakhand,2020-04-12,30.0668,79.0193,35,30,0,0.0,5,0.14285714285714285,0
30,West Bengal,2020-04-12,22.9868,87.855,134,110,5,0.03731343283582089,19,0.1417910447761194,18
